,address,categories,conditions,duties,employment,experience,name,requirements,salary,url
214,Москва,"Мастер по ремонту, Дизайн","• Обучение по необходимости. Действует собственный учебный центр.• Собственный склад и служба снабжения, вы экономите время на поиске и закупке комплектующих.• График работы на испытательный срок 5/2 (исп. срок от 1-3 мес.) После испытательного срока можно перейти на график 2/2 или составить индивидуальный.• Ежедневные выплаты.• ЗП до 50% с заказов. На первый месяц выходит 40000 +-, со второго месяца инженеры выходят на 60000 - 70000 (можно и больше)• Гарантированно от 3 - 5 заказов в день.• Обучающий тренинг и 1-2 стажировочных выезда с опытными инженерами на реальные заказы.","• В основном работа разъездная и частично в сервис-центре, компьютерная помощь на дому.• Проведение диагностики ПК, ноутбуков.• Ремонт, настройка, сборка, модернизация компьютеров.• Замена комплектующих (сложные ремонты осуществляются в сервис-центре).",,полная занятость,Мастер по ремонту компьютеров / Помощник мастера,"Хотите к нам? Требования минимальны:• Желание развиваться, быть лучшим и стать профессионалом.• Отличные знания компьютеров, ноутбуков, комплектующих к ним.• Желание работать и зарабатывать;Мы не сработаемся, если:• Не ищешь решения, а придумываешь отговорки.• Всегда все кругом виноваты, а ты непризнанный гений.",45000—80000₽,https://www.superjob.ru/vakansii/master-po-remontu-kompyuterov-31512583.html
215,Ковров,"IT, Интернет, связь, телеком, Кладовщик","Достойная заработная плата.Испытательный срок-3 месяца.Официальное трудоустройство в соответствии с ТК РФ с первого дня работы, ДМС.Корпоративные программы развития, 5-ти дневная рабочая неделя с 8:30 до 17:30.Компенсация питания.Работа во Владимирской области - г. Ковров","Прием, отгрузка ИТ оборудования со склада.Сбор предложений, подбор оборудования, заказ товара.Работа с первичной документацией, проведение платежей и отслеживание взаиморасчетов с контрагентами.Техническая поддержка пользователей.Отчетность.",полная занятость,опыт работы от 1 года,Кладовщик,"Неполное высшее, высшее техническое (ИТ, физ-мат)Владение компьютером на уровне продвинутого пользователя.Знание ассортимента и особенностей компьютерного оборудования.Аккуратность и исполнительность.Желательна практика работы в 1Сv8• Неполное высшее образование",25000₽,https://www.superjob.ru/vakansii/kladovschik-31687899.html
216,"Московская обл.,  Подольск, деревня Валищево","Специалист технической поддержки, IT, Интернет, связь, телеком","- График работы - 1/3- Оформление в первый день по ТК РФ- ""белая"" заработная плата- Стажировка (приблизительно 1,5-2 месяца) проходит в Москве по адресу - м. Авиамоторная ул.4-ая Кабельная 6А, далее сотрудник работает на постоянной основе в обособленном подразделении - деревня Валищево (логистический комплекс), от станции Подольск организован корпоративный автобус- Прямой работодатель","- Поддержка пользовательской и сетевой инфраструктуры IT (от 10 рабочих мест)- Обеспечение бесперебойной работы компьютерной и печатной техники- Определение источника и характера технической неполадки- Мониторинг IT инфраструктуры- Настройка рабочих станций (установка Windows, Office, сетевые настройки)- Ведение документации по учету оборудования и проведенных работ",,сменный график работы,Специалист технической поддержки,"- Знание семейства ОС Windows (установка, настройка).- Знание офисного ПО (Office, 1С).- Понимание основ работы ЛВС.- Понимание основ работы оргтехники.- Идентификация проблемы и умение заменить картридж, ролик, барабан, коротрон и т.д.- Личностные качества: Вежливость, коммуникабельность, грамотная речь, внешний опрятный вид",46000₽,https://www.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-31692635.html
217,Ульяновск,"Консультант, IT, Интернет, связь, телеком","- Декретная строчка, будет открыта с апреля 2019 г.- Официальное трудоустройство согласно ТК РФ.- График работы Пн-Пт с 8:30 до 17:30, Сб-Вс - выходные.- Ежегодный оплачиваемый отпуск согласно ТК РФ.- Стабильная выплата заработной платы дважды в месяц.- Бесплатная доставка транспортом до предприятия со всех районов города.- Бесплатное питание в корпоративной столовой (дотация).- Дополнительное медицинское страхование после испытательного срока.- Льготная спортивная программа после испытательного срока.- Скидка до 50% на покупку шин Bridgestone после испытательного срока.- Премии по результатам оценки, в размере от оклада и выше.- Ежегодный пересмотр заработной платы.- Корпоративные мероприятия для сотрудников и членов семей.- Работа в молодом и дружном коллективе, возможности для роста и развития.Стань частью Бриджстоун!Благодарим Вас за интерес, проявленный к нашей Компании. Ваше резюме будет рассмотрено в течение 14 дней с момента его получения. Если Ваш опыт работы и ожидания соответствуют требованиям и интересам Компании - мы обязательно свяжемся с Вами по указанным контактам.Отсутствие ответа в течение 14 дней означает, что, к сожалению, на сегодняшний день мы не готовы сделать Вам предложение о работе.В случае появления подходящей для Вас работы, мы обязательно с Вами свяжемся!С уважением, команда HR","Вы инициативны, стремитесь к развитию, готовы брать на себя ответственность и на Вас всегда может рассчитывать команда? Значит Вы тот, кто нам нужен!Присоединяйтесь к нашей команде профессионалов и Вашими задачами будет:- Анализ функционирования системы SAP и выявление необходимости внесения изменений.- Написание технически грамотных заданий на доработку модулей.- Организация и проведение обучения пользователей SAP.- Прием заявок на устранение неисправностей и передача их в подрядную организацию, контроль за их устранением.- Ведение IT-проектов.",полная занятость,опыт работы от 1 года,Консультант SAP,"- Опыт работы в консультировании по модулям SAP: MM, FI - от 1 года.- Знание следующих модулей SAP: MM, FI, Co, BI, PS, WMS.- Знание бухгалтерских и складских операций.- Английский язык на уровне upper-intermediate.- Опыт успешного ведения проектной деятельности.• Английский язык (разговорный)",61800₽,https://www.superjob.ru/vakansii/konsultant-sap-31583117.html
218,"Оренбург, ул. Монтажников, д. 26/2","Системный администратор, IT, Интернет, связь, телеком","- Оформление в соответствии с Трудовым законодательством РФ;- Пятидневная рабочая неделя, выходные: суббота, воскресенье;- Полный рабочий день с 9.00 до 18.00;- Стабильность, социальные гарантии;- Полностью оборудованное рабочее место;- Возможность профессионального развития;- Достойная оплата труда: стабильная заработная плата (полностью ""белая"")=оклад + результативная часть;- Работа в дружном коллективе профессионалов.","Компания МастерСофт на рынке уже более 18 лет! Наша команда динамичных профессионалов продолжает расти и развиваться! В связи с расширением штата, требуется Системный администратор.Ваши задачи:- Осуществлять сопровождение и техническую поддержку ИТ-инфраструктуры Компании.- Обеспечивать бесперебойную работу ИТ-инфраструктуры Компании.- Осуществлять мониторинг ИТ-инфраструктуры Компании.- Разрабатывать и внедрять ИТ-решения для Компании.",полная занятость,опыт работы от 3 лет,Системный администратор,"ОБЯЗАТЕЛЬНО:- высшее образование;- опыт работы от 5 лет;- знание WINDOWS, UNIX;- наличие авто.• Высшее образование",50000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-30711306.html
219,Канск,"Системный администратор, IT, Интернет, связь, телеком","Трудоустройство согласно ТК РФ.Компенсационный пакет: оплата ГСМ, мобильной связи.Работа разъездного характера.Для участия в конкурсе необходимо отправить резюме!","- Обеспечение бесперебойной работы ИТ инфраструктуры компании.- Конфигурация, настройка и администрирование ПК и периферийных устройств, поддержка локальной сети.- Конфигурация, настройка и администрирование серверов.- Обеспечение информационной безопасности системы.- Участие в закупке оборудования, комплектующих и программного обеспечения.- Консультирование пользователей;- Подготовка к открытию новых торговых точек.- Техническая поддержка торговых точек.Зона ответственности: Канск, Тайшет, Тулун, Нижнеудинск.",полная занятость,опыт работы от 1 года,Системный администратор,"Опыт работы с аналогичным функционалом от 1 года (желательно сетевой ритэйл).Знание и опыт администрирования операционных систем: MS Windows, опыт работы с серверным оборудованием.Знание и опыт поддержки процессов резервного копирования и восстановления.Знание аппаратной части ПК, диагностика и устранения неполадок.Знание принципов работы сетевых протоколов, принципов построения компьютерных сетей.Опыт установки и поддержки серверного программного обеспечения.Опыт работы с торговым оборудованием (ТСД, Сканеры Ш-К, Фискальные регистраторы, Электронные весы и т.д.) (Обязательно).Знание продуктов 1с (8.1, 8.2, 8.3) (БУХ, ЗУП, УТ, КОРП) на уровне администрирования (Обязательно).Знание программного комплекса БИТКассир (желательно).Опыт работы с MS SQL (Развертывание, обслуживание баз данных, резервное копирование)Наличие личного автомобиля и ВУ категории Б.• Высшее образование• Водительские права: B",28500₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-29456189.html
220,"Хабаровск, ул. Волочаевская, д. 8Е","Руководитель проекта, IT, Интернет, связь, телеком","• Интересная работа на стыке современных IT-технологий и дизайна• Общение с руководителями и бизнесменами крупных компаний нашего города• Молодой и дружный коллектив, желающий вместе достигать результатов• Возможность влиять на результаты всей компании.• Молодой и прогрессивный руководитель компании• Официальное трудоустройство• Удобное рабочее место недалеко от центра города• Совместные чаепития и посиделки в компании• Карьерный рост в разных направлениях• Обучение особенностям web-дизайна, сферы продаж, управлению","Ведущая студия веб-разработчик на Дальнем Востоке (согласно Рейтингу Рунета) снова расширяется.Если ты считаешь, что выкладываешься не на полную или чувствуешь, что способен на большее, то мы тебя ждём!Кто такой «Руководитель интернет-проектов»?Это человек, который продумывает, контролирует и координирует работу всех членов команды на всех этапах разработки сайтов. Это работа, которая поможет тебе реализовать свой творческий потенциал, ведь она находится на стыке: маркетинга, аналитики, дизайна, информационных технологий и психологии.Руководитель интернет-проектов – это тот, кто должен суметь разглядеть бизнес-цели наших клиентов, и суметь с помощью чужих рук реализовать эти цели в проекте так, чтобы он стал рентабельным.Недостаток опыта в этой сфере – не проблема. Мы с радостью всему научим. Проект-менеджер - это всегда командная работа, построенная на доверии и взаимопомощи.Скучно точно не будет, ведь каждый проект – это как новая жизнь, а порой сразу несколько новых жизней!Должностные обязанности• Продумывание будущего проекта и написание технического задания для работы команды• Сбор команды для работы над проектом• Общение с клиентам и командой для выработки совместных решений• Контроль сроков и уровня качества проекта",,полная занятость,Руководитель интернет-проекта,"• Аналитический склад ума, любовь к порядку, системность• Высокая ответственность за свои действия• Умение грамотно общаться, как с Заказчиком, так и с участниками команды• Желание обучаться новому и развиваться в сфере интернет-технологий• Умение находить согласие даже в сложных ситуациях• Целеустремленность, желание добиваться результата в кратчайшие сроки• Внимательность к мелочам, аккуратность• Способность держать в голове большое количество данных одновременно• Жизнерадостность• Желательны знания в области юзабилити и построения интерфейсов и разработки сайтовМы ищем того, кто не боится ответственности, и хочет вести переговоры с владельцами компаний, а также того, кто готов контролировать работу их проектов внутри студии.",25000—55000₽,https://www.superjob.ru/vakansii/rukovoditel-internet-proekta-31384632.html
221,"Саратов, ул. Рабочая, влд 145А","Продажи, Менеджер активных продаж","Работа в крупной федеральной компании.Официальное оформление.""Белая"" заработная плата, оклад+бонус.Нет ограничения в уровне дохода.Система корпоративного обучения.Возможность карьерного роста.Молодой дружный коллектив.Стань частью нашей команды!!!Измени мир к лучшему!","Ищешь работу, которая совместит в себе креативность и результат, высокие технологии и профессиональную команду?!Возможно ТЫ - тот, кого мы ищем!Продажа телекоммуникационных услуг крупным клиентам;Активный поиск потенциальных клиентов (В2В, В2G);Проведение переговоров, заключение договоров;Участие в подготовке контрактной документации; мониторинг возможностей развития бизнеса;Ведение проекта (от осуществления поиска клиента до момента выполнения договорных обязательств);Работа с существующими заказчиками с целью расширения объемов продаж.",полная занятость,опыт работы от 1 года,Менеджер по продажам сетевым клиентам (b2f),"Опыт продаж сложных технических решений (требующие индивидуального подхода);Общие знания в телекоме и IT- области;Знание конъюнктуры рынка, основ ценообразования и маркетинга;Владение технологиями активного поиска клиентов (технология продаж);Умение анализировать бизнес клиента;Умение вести деловую переписку и переговоры, проводить презентации;Опыт работы с крупными заказчиками на уровне высшего руководства;Готовность работать в интенсивном режиме;Личные качества: уверенность в себе и своих силах, оптимизм, настойчивость в достижении целей, коммуникабельность.• Высшее образование",30000₽,https://www.superjob.ru/vakansii/menedzher-po-prodazham-setevym-klientam-30993636.html
222,Хабаровск,"Начальник отдела продаж, Топ-персонал","Оформление по ТК РФСвоевременная выплата з/пВозможности профессионального карьерного ростаБесплатное обучение в Инновационном учебном центреДружный, молодой, творческий, харизматичный коллективРабота в центре города с шаговой доступностью: к спортзалу, к роллам, к столовой, к супермаркету, к йоге, в перспективе к МФЦ «СЧАСТЬЕ»","Управление отделом продаж («конвеерная система»)Внедрение CRM в отдел продажФормирование команды продажОпыт работы в проектном бизнесе, желательно ИТОпыт управления людьми, опыт построения системы продажЗона ответственности Сибирь и ДВ, специалисты штатные и региональные представители.Наличие командировок.",полная занятость,опыт работы от 3 лет,Начальник отдела продаж,"CRM, 1CНавыки переговоровГрамотная речьОпыт работы: от 3х в продажах, от 1 года управления, только проектный бизнес• Высшее образование",80000₽,https://www.superjob.ru/vakansii/nachalnik-otdela-prodazh-31529594.html
223,"ул. Рабоче-Крестьянская, д.30","Специалист технической поддержки, IT, Интернет, связь, телеком","- работа в офисе, полный рабочий день;- без продаж, ваша задача - консультировать наших клиентов по работе в ПО;- Пятидневная рабочая неделя (с 9 до 18, обед 1 час вы можете планировать самостоятельно в любое время);- Возможность повышения квалификации за счет фирмы в сфере 1С (прохождение курсов);- Официальное оформление по ТК РФ;- Официальная заработная плата;- Предоставление отпуска 2 раза в год по 14 дней, согласно ТК РФ;- Уютный и современный офис в центре (ост. Пл. Советская);- Бытовые условия для комфортной работы в офисе: вареный кофе с молоком, микроволновка, холодильник, кулер.",- консультирование клиентов по использованию специализированного программного обеспечения по управлению и развитию персонала;- проведение регламентного обновления программного продукта у клиентов;- проведение обучения функционалу и разработка пользовательских инструкций;- настройка программного обеспечения (пользовательский режим);- оформление клиентской документации;- проведение телемаркетинга по клиентской базе.,,полная занятость,Специалист технической поддержки,"- высшее техническое образование;- владение ПК на уровне продвинутого пользователя;- знание 1С на уровне пользователя (желательно);- рассмотрим кандидатов, только что закончивших ВУЗ, аспирантов;- желание работать, расти и развиваться в IT-компании;- коммуникабельность стрессоустойчивость.• Высшее образование",20000—30000₽,https://www.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-31677067.html
224,Оренбург,"IT, Интернет, связь, телеком, Инженер","• График работы 5/2;• Полный рабочий день (8 часов +1 час обед);• Оплата труда: оклад;• Трудоустройство согласно ТК РФ;• Заработная плата 2 раза в месяц;• Стабильная интересная работа + сплоченный коллектив;• Работа в современном офисе;• Заработная плата по результатам собеседования;• Испытательный срок 3 месяца;• Корпоративный спортзал;• Профессиональное развитие и карьерный рост;• Рассматриваем студентов 4,5,6 курсов.","Филиал компании ООО ""Глобал Мониторинг"" в г. Оренбурге собирает большую команду профессионалов, для постоянной работы. Количество вакантных мест ограничено. Необходимый штат сотрудников 2 человека.Приглашаем соискателей как имеющих опыт работы, так и начинающих специалистов. Дополнительную информацию и условия работы вы сможете узнать на собеседовании, будем рады ответить на все вопросы.Мы не будем скромными – в нашей команде работают успешные люди. Если вы талантливы и амбициозны – придите и докажите это!• Работа с основными гипервизорами (Xen и др);• Администрирование оборудования и программного обеспечения (Серверы, сетевое оборудование и программное обеспечение, системы видеонаблюдения, CRM);• Поддержка и развитие IT-инфраструктуры в компании;• Оперативное реагирование и разрешение инцидентов;• Настройка, администрирование на высоком уровне;• Приветствуется знание основ работы СКУД;• Маршрутизация потоков информации;• Работа с сетевым оборудованием и различными протоколами;• Предоставление отчетности о проделанной работе;• Сопровождение сервисов на базе ОС Windows Server 2008-2012 (AD, DNS, DFS, GPO, WSUS, Hyper-V, SCOM, SCCM, SC VMM, ISA\TMG, MS Exchange, DPM, Terminal Services);• Сопровождение сервисов на базе ОС Debian, CentOS (FTP, Postfix и т.п.);• Сопровождение почтовых систем MS Exchange 2007-2016;• Сопровождение систем управления БД MS SQL 2005-2016 на уровне администратора;• Сопровождение и обслуживание серверного оборудования HP, Dell, SuperMicro, Cisco.• Создание и поддержка Базы Знаний по решению инцидентов;• Взаимодействие со смежными подразделениями, производителями, разработчиками.",полная занятость,опыт работы от 3 лет,Системный инженер,"• Знание английского языка на уровне чтения и понимания технической документации;• Навыки документирования IT-решений;• Приветствуется опыт работы с ЦОД и участие в его формировании.• Знание и работа с ОС Linux, Windows;• Знание основ устройства интернет магазинов и финансовых систем;• Обязательный опыт работы с масштабными системами баз данных;• Умение работать с железом: серверы, коммутаторы, маршрутизаторы;• Опыт в формировании DATA центров;• Знание основы построение систем управления распределения нагрузки;• Опыт разработки и проектирования сетевой инфраструктуры с нуля.• Экспертные знания платформы MS Windows Server 2003/2008/2012;• Экспертные знания службы каталога Active Directory;• Экспертные знания сервисов GPO, DNS, DHCP, RAS, WSUS, PKI;• Экспертные знания работы баз данных MS SQL;• Опыт администрирования IT инфраструктуры от 1000 хостов;• Опыт самостоятельного составления сценариев Windows: VBS, JS, CMD, BAT, PowerShell;• Опыт работы с серверным оборудованием стандартной архитектуры x64 вендоров HP, Dell, SuperMicro, а также системами хранения данных HP;• Опыт работы с антивирусными решениями корпоративного уровня;• Понимание работы систем межсетевого экранирования на базе Microsoft ISA2006/TMG2010;• Знания сетевых протоколов и технологий;• Понимание и знание основ работы систем резервного копирования (MS DPM, Symantec и др.);• Знание технического английского языка;• Аналитический склад ума;• Готовность и умение работать в команде;• Активность, стрессоустойчивость, клиентоориентированность.• Высшее образование• Английский язык (технический)",20000—25000₽,https://www.superjob.ru/vakansii/sistemnyj-inzhener-28021935.html
225,"Оренбург, ул. Тихая, д. 8/2","Специалист технической поддержки, IT, Интернет, связь, телеком","Комфортные условия работы, возможность развозки и своевременную выплату достойной заработной платы;Оформление в соответствии с ТК РФ;График работы сменный 2/2, с 10:00-22:00;Испытательный срок 2 мес.;Уровень заработной платы определяется по результатам собеседования;Перспектива карьерного роста.","Приём, классификация и решение обращений от сотрудников магазинов по системе ServiceDesk и телефону (удаленная поддержка без выезда, обслуживание 40-50 магазинов);Выявление причины обращений;Передача обращения на вышестоящий уровень, в случае невозможности решить проблему;Оборудование, по которому будут обращения: классическое офисное оборудование и периферия (ПК, сканеры, принтеры), торговое оборудование (кассовые аппараты, он-лайн кассы 54ФЗ, весы, сканеры штрих кодов, счетчики проходимости);Программа, по которой будут обращения: 1С.",сменный график работы,опыт работы не требуется,Специалист первой линии технической поддержки / Специалист Help Desk,"Желание развиваться в области программирования.Опыт эксплуатации компьютерной техники, инсталляции, настройки оборудования.Стремление помочь и оперативно решить проблему;Опыт работы по направлению, с торговым оборудованием или в ИТ сфере будет преимуществом.",25000₽,https://www.superjob.ru/vakansii/specialist-pervoj-linii-tehnicheskoj-podderzhki-30654787.html
226,"Волгоград, ул. им. Рокоссовского, д. 62","Продажи, Менеджер по продажам","Что предлагаем:- 39 000 рублей «на руки» за выполнение плана, все белое и бонусы без потолка.- ДМС, частичную компенсацию обедов и занятий спортом.- Уютный офис с кухней, спортзалом, комнатой отдыха с пуфами, Xbox и настольными играми.- Работу в команде активных ребят, с которыми круто не только работать, но и отдыхать.- Главное – обучим тебя особенностям и фишкам наших продуктов, а также научим их продавать. Наши продукты действительно востребованы и нужны людям, и их не нужно «впаривать».","СКБ Контур – федеральная ИТ-компания с 30-летней историей. Мы разрабатываем веб-сервисы, которые работают в браузере и позволяют бухгалтерам и руководителям вести документацию, заполнять и сдавать отчеты в налоговую и другие гос.органы через интернет. Сегодня у нас больше 1 870 000 клиентов, среди которых Росатом, Магнит, РЖД, Евросеть и другие.Приглашаем тебя в амбициозную команду Федерального центра продаж. Не важно, есть у тебя опыт в продажах, или ты ищешь свою первую работу. Главное, чтобы ты был активен, любопытен и открыт новым знаниям.Что предстоит делать:- Звонить по готовой базе клиентов.- Проводить презентации сервисов по телефону.- Продавать наши продукты.",полная занятость,опыт работы не требуется,Начинающий менеджер по продажам,Чтобы попасть в команду:- Оставь отклик на вакансию.- Получи приглашение и приходи на собеседование.- Будь активным и ответственным на трехдневной стажировке.,39000₽,https://www.superjob.ru/vakansii/nachinayuschij-menedzher-po-prodazham-31639490.html
227,Владивосток,"Специалист технической поддержки, IT, Интернет, связь, телеком",,"1. Техническая поддержка сотрудников компании, в качестве 1й линии технической поддержки;2. Отслеживание, в соответствующей информационной системе и электронном почтовом ящике, поступления новых обращений;3. Оказание первичной технической поддержки по обращениям сотрудников компании, в рамках согласованного каталога услуг и установленных сроков.",,полная занятость,Специалист технической поддержки,"1. Образование: не ниже среднего профессионального.2. Желание развиваться в сфере IT.3. Преимуществом будет опыт в аналогичной должности.Знания:1. Средства вычислительной техники, коммуникаций и связи.2. Опытный пользователь ОС Windows, различных офисных пакетов.3. Знания основных ошибок ОС Windows, офисных пакетов и навыки их устранения.4. Желательно базовые знания по устройству и возможностям различных конфигураций 1С.5. СтрессоустойчивостьБудем рады видеть в своей команде дружелюбного, умеющего слушать и слышать сотрудника.• Среднее специальное образование• Английский язык (базовый)",31000₽,https://www.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-31692435.html
228,"г. Челябинск, ул. Труда, д.91, оф. 408","IT, Интернет, связь, телеком, Менеджер по продажам","«Прессбюро» - одна из лидирующих компаний в сфере внедрения в бизнес информационно-правовых программ и справочных систем для специалистов и руководителей. Открытый на сегодня набор на позицию менеджера по продажам медиа-продуктов справочных систем обусловлен развитием компании в построении структурных отделови поэтому мы предлагаем Вам стать частью увлекательного мира IT-сервисов и влиться в нашу боевую команду. Компанией предоставляется высококвалифицированный метод активного обучения, целью которого является развитие компетентности межличностного и профессионального поведения в общении, т.е. формирование отработки умений и навыков, которые помогут в свою очередь заработать деньги, а это, то ради чего большая часть кандидатов устраивается на работу.От нас:• Оформление в соответствии с ТК (отпуск, больничный);• Своевременная заработная плата (оклад +% + премия);• Удобный график работы пн. – пт. с 08:30 по 17.30;• Корпоративное обучение, тренинги, семинары;• Корпоративная мобильная связь;• Перспектива профессионального и личностного роста;• Молодой, дружный коллектив;• Интересная и насыщенная корпоративная жизнь;• Работа в комфортном офисе, в центре города - БЦ Гардероб;• Работа в стабильной, стремительно развивающейся федеральной компании.","Мы будем рады видеть в своей команде как профессионалов в сфере корпоративных продаж на рынке В2В, так и новичков, которые имеют огромное желание развиваться в данном направлении!• Презентация программ по телефону, проведение телефонных переговоров с регулярными и потенциальными клиентами с целью предложить наш продукт. На сегодня это самый качественный, интеллектуально-наполненный продукт информацией нужной для профессионалов такие как: бухгалтер, юрист, финансист, кадровик. Система Главбух - это для коммерческих организаций - работа ведется с главными бухгалтерами, ГОСФИНАНСЫ - это тоже для главных бухгалтеров программа, но для бюджетных организаций, а так же менеджер телефонных продаж предлагает такие системы как - Система Юрист, Финансовая система и Система Кадры - это флагманские системы, которые презентуют менеджеры по телефону.• Подключение IT-сервисов (Отчет и отчетность, Расчетчик зарплат и др., демонстрация справочных систем с цельюподписать договор с юридическим предприятием, которому понравилась система;• Подготовка коммерческих предложений. Здесь работа налажена таким образом: все коммерческие предложения ужесозданы и отработаны в том виде, в котором можно презентабельно выслать по электронной почте клиенту, послепрезентации продукта;• Сопровождение клиента от 1 дня до 3-х месяцев. Работа ведется так, что от момента переговоров до контроля оплатыи предоставления подписанного договора - это и будет являться результатом проведенных презентаций, то ради чегоменеджер телефонных продаж исполняет свои обязанности.• Участие в семинарах, конференциях (1 раз в квартал для всех клиентов). Те клиенты, которые принимали участие в презентации программ и прошли через показы систем - они имеют право бесплатно участвовать в семинарах и конференциях - эту уникальную возможность предоставляют лекторы из министерств и ведомств, они приезжают из Москвы для проведения семинаров по актуальным темам, наболевшим вопросам - они же и являются главными консультантами программ, каждый менеджер для развития своей клиентской базы и укрепления отношений с клиентами обязан будет пригласить своего клиента, с которым он работает в течении вышеуказанного срока.",полная занятость,опыт работы не требуется,Менеджер телефонных продаж,"• Навыки ведения телефонных переговоров;• Нацеленность на результат, самостоятельность;• Грамотная речь, четкая дикция;• Уверенный пользователь ПК;• Высокая обучаемость.• Высшее образование",25000—100000₽,https://www.superjob.ru/vakansii/menedzher-telefonnyh-prodazh-28890538.html
